Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1     0.0     0.3487   3.3464   0.14602   2.5      2.6      2.9      3.0      3.3      3.7      3.9      4.2      4.3
1     1.0     0.2297   4.4709   0.13395   3.4      3.6      3.9      4.1      4.5      4.9      5.1      5.5      5.7
1     2.0     0.1970   5.5675   0.12385   4.4      4.5      4.9      5.1      5.6      6.0      6.3      6.8      7.0
1     3.0     0.1738   6.3762   0.11727   5.1      5.2      5.6      5.9      6.4      6.9      7.2      7.7      7.9
1     4.0     0.1553   7.0023   0.11316   5.6      5.8      6.2      6.5      7.0      7.6      7.9      8.4      8.6
1     5.0     0.1395   7.5105   0.11080   6.1      6.2      6.7      7.0      7.5      8.1      8.4      9.0      9.2
1     6.0     0.1257   7.9340   0.10958   6.4      6.6      7.1      7.4      7.9      8.5      8.9      9.5      9.7
1     7.0     0.1134   8.2970   0.10902   6.7      6.9      7.4      7.7      8.3      8.9      9.3      9.9     10.2
1     8.0     0.1021   8.6151   0.10882   7.0      7.2      7.7      8.0      8.6      9.3      9.6     10.3     10.5
1     9.0     0.0917   8.9014   0.10881   7.2      7.4      7.9      8.3      8.9      9.6     10.0     10.6     10.9
1    10.0     0.0820   9.1649   0.10891   7.5      7.7      8.2      8.5      9.2      9.9     10.3     10.9     11.2
1    11.0     0.0730   9.4122   0.10906   7.7      7.9      8.4      8.7      9.4     10.1     10.5     11.2     11.5
1    12.0     0.0644   9.6479   0.10925   7.8      8.1      8.6      9.0      9.6     10.4     10.8     11.5     11.8
2     0.0     0.3809   3.2322   0.14171   2.4      2.5      2.8      2.9      3.2      3.6      3.7      4.0      4.2
2     1.0     0.1714   4.1873   0.13724   3.2      3.3      3.6      3.8      4.2      4.6      4.8      5.2      5.4
2     2.0     0.0962   5.1282   0.13000   4.0      4.1      4.5      4.7      5.1      5.6      5.9      6.3      6.5
2     3.0     0.0402   5.8458   0.12619   4.6      4.7      5.1      5.4      5.8      6.4      6.7      7.2      7.4
2     4.0    -0.0050   6.4237   0.12402   5.1      5.2      5.6      5.9      6.4      7.0      7.3      7.9      8.1
2     5.0    -0.0430   6.8985   0.12274   5.5      5.6      6.1      6.4      6.9      7.5      7.8      8.4      8.7
2     6.0    -0.0756   7.2970   0.12204   5.8      6.0      6.4      6.7      7.3      7.9      8.3      8.9      9.2
2     7.0    -0.1039   7.6422   0.12178   6.1      6.3      6.7      7.0      7.6      8.3      8.7      9.4      9.6
2     8.0    -0.1288   7.9487   0.12181   6.3      6.5      7.0      7.3      7.9      8.6      9.0      9.7     10.0
2     9.0    -0.1507   8.2254   0.12199   6.6      6.8      7.3      7.6      8.2      8.9      9.3     10.1     10.4
2    10.0    -0.1700   8.4800   0.12223   6.8      7.0      7.5      7.8      8.5      9.2      9.6     10.4     10.7
2    11.0    -0.1872   8.7192   0.12247   7.0      7.2      7.7      8.0      8.7      9.5      9.9     10.7     11.0
2    12.0    -0.2024   8.9481   0.12268   7.1      7.3      7.9      8.2      8.9      9.7     10.2     11.0     11.3
