2;-4.412137,15.308018
3;-11.648201,27.479439
4;0.523388, 25.196085
6;-2.507858,28.844891
5;-1.955101,30.060604
7;-1.942148,30.059566
8;-2.203975,30.144975
9;-1.942148,30.059566
10;-2.482476,28.897276
11;-1.949268,30.433402
12;-1.945236,30.05888
13;-1.945236,30.05888
14;-1.745183,30.020714
15;-1.936229,30.053523
16;-1.943177,30.059223
17;-1.945236,30.05888
18;-2.60012,29.737215
19;
20;-1.944207,30.059223
21;-3.400245,29.354081
22;-1.94455,30.059566
23;50.842722,4.853851
24;-3.370514,29.359188
25;-3.370514,29.359531
26;12.659768,-8.000221
27;
28;-3.371199,29.359188
29;5.34348,-4.00212
30;
31;-1.943864,30.059566
