Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1    60.5     1.26636 109.1751  0.04259 100.3318 101.4523 103.1712 106.0265 109.1751 112.2998 115.0924 116.755  117.8314
1    61.5     1.27360 109.7196  0.04269 100.8077 101.9372 103.6697 106.5472 109.7196 112.8671 115.6795 117.3536 118.4374
1    62.5     1.27699 110.2631  0.04279 101.2843 102.4225 104.1682 107.0673 110.2631 113.4335 116.2661 117.9521 119.0435
1    63.5     1.27670 110.8058  0.04289 101.7618 102.9082 104.6666 107.5868 110.8058 113.9992 116.8522 118.5505 119.6498
1    64.5     1.27288 111.3477  0.04299 102.2401 103.3945 105.1651 108.1058 111.3477 114.5641 117.4380 119.1487 120.2562
1    65.5     1.26572 111.8890  0.04308 102.7195 103.8814 105.6638 108.6244 111.8890 115.1284 118.0234 119.7469 120.8627
1    66.5     1.25540 112.4296  0.04318 103.2000 104.3690 106.1627 109.1427 112.4296 115.6921 118.6084 120.3450 121.4694
1    67.5     1.24209 112.9696  0.04327 103.6815 104.8574 106.6619 109.6607 112.9696 116.2551 119.1931 120.9430 122.0761
1    68.5     1.22598 113.5090  0.04335 104.1642 105.3466 107.1614 110.1785 113.5090 116.8176 119.7774 121.5408 122.6829
1    69.5     1.20726 114.0479  0.04344 104.6479 105.8364 107.6611 110.6960 114.0479 117.3794 120.3613 122.1384 123.2897
1    70.5     1.18614 114.5861  0.04352 105.1326 106.3270 108.1612 111.2132 114.5861 117.9407 120.9447 122.7359 123.8965
1    71.5     1.16279 115.1238  0.04359 105.6183 106.8182 108.6614 111.7302 115.1238 118.5012 121.5277 123.3330 124.5031
1    72.5     1.13744 115.6609  0.04367 106.1048 107.3099 109.1619 112.2469 115.6609 119.0611 122.1101 123.9297 125.1095
1    73.5     1.11028 116.1973  0.04374 106.5921 107.8021 109.6624 112.7631 116.1973 119.6203 122.6918 124.5260 125.7156
1    74.5     1.08153 116.7329  0.04381 107.0799 108.2946 110.1629 113.2789 116.7329 120.1786 123.2729 125.1217 126.3212
1    75.5     1.05140 117.2678  0.04388 107.5682 108.7873 110.6633 113.7942 117.2678 120.7361 123.8532 125.7168 126.9263
1    76.5     1.02010 117.8018  0.04394 108.0566 109.2801 111.1634 114.3089 117.8018 121.2926 124.4327 126.3111 127.5307
1    77.5     0.98784 118.3348  0.04400 108.5451 109.7727 111.6631 114.8229 118.3348 121.848  125.0111 126.9045 128.1344
1    78.5     0.95485 118.8668  0.04406 109.0335 110.2649 112.1623 115.3360 118.8668 122.4024 125.5884 127.4969 128.7371
1    79.5     0.92133 119.3977  0.04412 109.5214 110.7566 112.6608 115.8481 119.3977 122.9555 126.1646 128.0882 129.3387
1    80.5     0.88750 119.9272  0.04418 110.0086 111.2476 113.1583 116.3592 119.9272 123.5073 126.7394 128.6782 129.9391
1    81.5     0.85357 120.4554  0.04424 110.4950 111.7375 113.6548 116.8690 120.4554 124.0576 127.3128 129.2668 130.5381
1    82.5     0.81975 120.9821  0.04429 110.9801 112.2263 114.1499 117.3774 120.9821 124.6064 127.8846 129.8538 131.1356
1    83.5     0.78624 121.5072  0.04435 111.4638 112.7135 114.6436 117.8842 121.5072 125.1535 128.4547 130.4392 131.7314
1    84.5     0.75324 122.0305  0.04440 111.9459 113.1991 115.1356 118.3893 122.0305 125.6987 129.0230 131.0226 132.3253
1    85.5     0.72094 122.5520  0.04445 112.4259 113.6827 115.6257 118.8926 122.5520 126.2421 129.5893 131.6041 132.9172
1    86.5     0.68951 123.0714  0.04451 112.9036 114.1642 116.1136 119.3938 123.0714 126.7834 130.1535 132.1834 133.5070
1    87.5     0.65914 123.5886  0.04456 113.3789 114.6431 116.5992 119.8927 123.5886 127.3225 130.7154 132.7605 134.0943
1    88.5     0.62999 124.1035  0.04462 113.8513 115.1194 117.0822 120.3893 124.1035 127.8594 131.2750 133.3350 134.6792
1    89.5     0.60220 124.6160  0.04467 114.3206 115.5927 117.5625 120.8833 124.6160 128.3937 131.8321 133.9070 135.2615
1    90.5     0.57590 125.1259  0.04473 114.7867 116.0629 118.0398 121.3746 125.1259 128.9256 132.3865 134.4763 135.8409
1    91.5     0.55123 125.6331  0.04479 115.2491 116.5297 118.5139 121.8630 125.6331 129.4547 132.9381 135.0426 136.4173
1    92.5     0.52828 126.1374  0.04485 115.7077 116.9928 118.9847 122.3483 126.1374 129.9810 133.4868 135.6060 136.9906
1    93.5     0.50714 126.6388  0.04492 116.1623 117.4521 119.4519 122.8305 126.6388 130.5044 134.0325 136.1662 137.5607
1    94.5     0.48789 127.1370  0.04498 116.6127 117.9074 119.9153 123.3092 127.1370 131.0247 134.5751 136.7231 138.1274
1    95.5     0.47059 127.6320  0.04505 117.0587 118.3585 120.3749 123.7845 127.6320 131.5419 135.1144 137.2767 138.6906
1    96.5     0.45526 128.1237  0.04512 117.5000 118.8053 120.8305 124.2562 128.1237 132.0559 135.6504 137.8267 139.2502
1    97.5     0.44194 128.6119  0.04520 117.9366 119.2475 121.2819 124.7242 128.6119 132.5664 136.1829 138.3731 139.8060
1    98.5     0.43062 129.0966  0.04527 118.3683 119.6851 121.7290 125.1882 129.0966 133.0736 136.7118 138.9159 140.3580
1    99.5     0.42129 129.5777  0.04535 118.7949 120.1179 122.1716 125.6484 129.5777 133.5771 137.2371 139.4548 140.9062
1   100.5     0.41391 130.0550  0.04544 119.2165 120.5459 122.6099 126.1045 130.0550 134.0771 137.7587 139.9899 141.4503
1   101.5     0.40842 130.5286  0.04552 119.6330 120.9690 123.0435 126.5565 130.5286 134.5734 138.2765 140.5211 141.9904
1   102.5     0.40477 130.9983  0.04561 120.0442 121.3872 123.4726 127.0044 130.9983 135.0660 138.7905 141.0484 142.5263
1   103.5     0.40287 131.4641  0.04571 120.4502 121.8004 123.8970 127.4481 131.4641 135.5548 139.3006 141.5716 143.0582
1   104.5     0.40262 131.9260  0.04580 120.8510 122.2086 124.3168 127.8876 131.9260 136.0397 139.8069 142.0908 143.5860
1   105.5     0.40391 132.3840  0.04590 121.2467 122.6119 124.7319 128.3228 132.3840 136.5209 140.3093 142.6061 144.1096
1   106.5     0.40660 132.8381  0.04600 121.6372 123.0103 125.1425 128.7539 132.8381 136.9982 140.8077 143.1173 144.6291
1   107.5     0.41058 133.2882  0.04611 122.0228 123.4039 125.5485 129.1807 133.2882 137.4717 141.3023 143.6245 145.1445
1   108.5     0.41568 133.7345  0.04621 122.4034 123.7928 125.9501 129.6035 133.7345 137.9414 141.7930 144.1278 145.6560
1   109.5     0.42176 134.1769  0.04632 122.7793 124.1771 126.3473 130.0222 134.1769 138.4073 142.2800 144.6272 146.1634
1   110.5     0.42866 134.6155  0.04643 123.1506 124.5569 126.7402 130.4369 134.6155 138.8696 142.7632 145.1228 146.6671
1   111.5     0.43620 135.0504  0.04654 123.5175 124.9325 127.1291 130.8477 135.0504 139.3282 143.2428 145.6148 147.1670
1   112.5     0.44423 135.4818  0.04666 123.8803 125.3040 127.5140 131.2548 135.4818 139.7833 143.7188 146.1032 147.6633
1   113.5     0.45256 135.9097  0.04678 124.2391 125.6717 127.8953 131.6584 135.9097 140.2350 144.1915 146.5882 148.1562
1   114.5     0.46103 136.3343  0.04689 124.5943 126.0358 128.2730 132.0585 136.3343 140.6835 144.6610 147.0699 148.6459
1   115.5     0.46946 136.7557  0.04701 124.9462 126.3966 128.6474 132.4555 136.7557 141.1289 145.1273 147.5486 149.1325
1   116.5     0.47770 137.1742  0.04713 125.2950 126.7544 129.0189 132.8495 137.1742 141.5713 145.5909 148.0245 149.6163
1   117.5     0.48558 137.5899  0.04725 125.6413 127.1096 129.3876 133.2407 137.5899 142.0111 146.0518 148.4979 150.0977
1   118.5     0.49294 138.0032  0.04737 125.9852 127.4624 129.7540 133.6295 138.0032 142.4484 146.5103 148.9689 150.5767
1   119.5     0.49965 138.4143  0.04749 126.3272 127.8132 130.1183 134.0161 138.4143 142.8835 146.9668 149.4380 151.0539
1   120.5     0.50556 138.8234  0.04761 126.6678 128.1625 130.4809 134.4008 138.8234 143.3168 147.4214 149.9053 151.5294
1   121.5     0.51055 139.231   0.04772 127.0073 128.5106 130.8422 134.7841 139.2310 143.7484 147.8747 150.3714 152.0038
1   122.5     0.51452 139.6373  0.04784 127.3462 128.8579 131.2026 135.1663 139.6373 144.1789 148.3268 150.8365 152.4773
1   123.5     0.51738 140.0427  0.04796 127.6851 129.2051 131.5625 135.5477 140.0427 144.6085 148.7782 151.3010 152.9504
1   124.5     0.51904 140.4477  0.04807 128.0243 129.5524 131.9224 135.9288 140.4477 145.0377 149.2294 151.7655 153.4235
1   125.5     0.51945 140.8527  0.04819 128.3643 129.9004 132.2828 136.3101 140.8527 145.4669 149.6808 152.2303 153.8972
1   126.5     0.51858 141.2582  0.04830 128.7058 130.2496 132.6441 136.6920 141.2582 145.8965 150.1329 152.6960 154.3718
1   127.5     0.51643 141.6646  0.04841 129.0491 130.6005 133.0068 137.0750 141.6646 146.3272 150.5861 153.1631 154.8480
1   128.5     0.51300 142.0725  0.04852 129.3949 130.9536 133.3714 137.4597 142.0725 146.7593 151.0410 153.6321 155.3263
1   129.5     0.50835 142.4824  0.04863 129.7436 131.3094 133.7386 137.8466 142.4824 147.1936 151.4982 154.1035 155.8072
1   130.5     0.50254 142.8949  0.04873 130.0958 131.6686 134.1089 138.2362 142.8949 147.6305 151.9583 154.5780 156.2913
1   131.5     0.49569 143.3107  0.04883 130.4520 132.0316 134.4828 138.6292 143.3107 148.0707 152.4218 155.0562 156.7792
1   132.5     0.48793 143.7304  0.04893 130.8127 132.3990 134.8608 139.0262 143.7304 148.5147 152.8894 155.5386 157.2715
1   133.5     0.47945 44.15450  0.04903 131.1785 132.7714 135.2437 139.4278 144.1545 148.9633 153.3617 156.0258 157.7688
1   134.5     0.47043 144.5838  0.04913 131.5498 133.1491 135.6318 139.8346 144.5838 149.4172 153.8394 156.5186 158.2717
1   135.5     0.46114 145.0190  0.04922 131.9272 133.5329 136.0260 140.2472 145.0190 149.8769 154.3230 157.0174 158.7806
1   136.5     0.45185 145.4607  0.04931 132.3110 133.9232 136.4266 140.6664 145.4607 150.3433 154.8133 157.5229 159.2964
1   137.5     0.44288 145.9097  0.04940 132.7018 134.3205 136.8343 141.0928 145.9097 150.8169 155.3109 158.0356 159.8193
1   138.5     0.43457 146.3665  0.04948 133.1000 134.7252 137.2496 141.5269 146.3665 151.2984 155.8164 158.5562 160.3500
1   139.5     0.42730 146.8320  0.04957 133.5059 135.1378 137.6730 141.9694 146.8320 151.7885 156.3303 159.0851 160.8890
1   140.5     0.42146 147.3066  0.04965 133.9199 135.5588 138.1050 142.4209 147.3066 152.2878 156.8532 159.6228 161.4365
1   141.5     0.41747 147.7911  0.04973 134.3423 135.9885 138.5461 142.8820 147.7911 152.7969 157.3857 160.1697 161.9930
1   142.5     0.41577 148.2859  0.04980 134.7733 136.4271 138.9968 143.3532 148.2859 153.3164 157.9280 160.7262 162.5588
1   143.5     0.41677 148.7917  0.04987 135.2132 136.8751 139.4573 143.8350 148.7917 153.8466 158.4807 161.2924 163.1339
1   144.5     0.42091 149.3088  0.04994 135.6621 137.3326 139.9280 144.3277 149.3088 154.3881 159.0439 161.8686 163.7185
1   145.5     0.42860 149.8376  0.05001 136.1202 137.7998 140.4091 144.8317 149.8376 154.9410 159.6179 162.4549 164.3126
1   146.5     0.44021 150.3784  0.05007 136.5875 138.2769 140.9009 145.3473 150.3784 155.5056 160.2026 163.0511 164.9160
1   147.5     0.45609 150.9313  0.05013 137.0640 138.7638 141.4034 145.8746 150.9313 156.0819 160.7981 163.6571 165.5285
1   148.5     0.47653 151.4964  0.05018 137.5496 139.2605 141.9167 146.4137 151.4964 156.6699 161.4041 164.2726 166.1497
1   149.5     0.50176 152.0735  0.05023 138.0442 139.7670 142.4407 146.9645 152.0735 157.2694 162.0203 164.8972 166.7791
1   150.5     0.53195 152.6624  0.05027 138.5477 140.2831 142.9752 147.5269 152.6624 157.8800 162.6462 165.5302 167.4160
1   151.5     0.56718 153.2627  0.05030 139.0597 140.8085 143.5200 148.1005 153.2627 158.5012 163.2811 166.1711 168.0596
1   152.5     0.60745 153.8738  0.05033 139.5799 141.3429 144.0746 148.6849 153.8738 159.1324 163.9243 166.8187 168.7091
1   153.5     0.65270 154.4951  0.05034 140.1080 141.8859 144.6388 149.2795 154.4951 159.7725 164.5748 167.4723 169.3634
1   154.5     0.70276 155.1255  0.05035 140.6435 142.4369 145.2117 149.8836 155.1255 160.4207 165.2314 168.1305 170.0213
1   155.5     0.75737 155.7642  0.05035 141.1858 142.9955 145.7928 150.4962 155.7642 161.0758 165.8930 168.7923 170.6817
1   156.5     0.81624 156.4099  0.05033 141.7345 143.5608 146.3813 151.1165 156.4099 161.7364 166.5581 169.4561 171.3430
1   157.5     0.87894 157.0612  0.05030 142.2889 144.1322 146.9763 151.7433 157.0612 162.4010 167.2253 170.1205 172.0040
1   158.5     0.94505 157.7168  0.05025 142.8482 144.7089 147.5767 152.3754 157.7168 163.0682 167.8929 170.7840 172.6630
1   159.5     1.01404 158.3751  0.05020 143.4118 145.2900 148.1815 153.0113 158.3751 163.7363 168.5594 171.4450 173.3186
1   160.5     1.08538 159.0344  0.05012 143.9788 145.8746 148.7896 153.6498 159.0344 164.4035 169.2231 172.1018 173.9691
1   161.5     1.15848 159.6931  0.05003 144.5483 146.4615 149.3998 154.2892 159.6931 165.0681 169.8822 172.7528 174.6131
1   162.5     1.23276 160.3493  0.04992 145.1196 147.0498 150.0107 154.9280 160.3493 165.7283 170.5350 173.3965 175.2490
1   163.5     1.30762 161.0015  0.04980 145.6915 147.6385 150.6210 155.5647 161.0015 166.3823 171.1798 174.0312 175.8753
1   164.5     1.38247 161.6478  0.04966 146.2633 148.2262 151.2295 156.1977 161.6478 167.0284 171.8151 174.6554 176.4906
1   165.5     1.45672 162.2865  0.04950 146.8339 148.8120 151.8348 156.8253 162.2865 167.6650 172.4393 175.2677 177.0935
1   166.5     1.52981 162.9161  0.04933 147.4023 149.3947 152.4355 157.4462 162.9161 168.2905 173.0509 175.8668 177.6829
1   167.5     1.60122 163.5350  0.04914 147.9674 149.9731 153.0304 158.0587 163.5350 168.9033 173.6486 176.4515 178.2575
1   168.5     1.67043 164.1418  0.04894 148.5284 150.5461 153.6181 158.6615 164.1418 169.5022 174.2313 177.0206 178.8165
1   169.5     1.73699 164.7352  0.04873 149.0842 151.1127 154.1975 159.2532 164.7352 170.0859 174.7978 177.5733 179.3589
1   170.5     1.80048 165.3140  0.04850 149.6338 151.6717 154.7674 159.8327 165.3140 170.6535 175.3473 178.1088 179.8840
1   171.5     1.86051 165.8771  0.04826 150.1763 152.2221 155.3268 160.3988 165.8771 171.2039 175.8790 178.6264 180.3913
1   172.5     1.91676 166.4236  0.04802 150.7107 152.7630 155.8746 160.9506 166.4236 171.7364 176.3923 179.1256 180.8804
1   173.5     1.96893 166.9528  0.04776 151.2363 153.2935 156.4099 161.4872 166.9528 172.2504 176.8868 179.6061 181.3509
1   174.5     2.01678 167.4641  0.04750 151.7521 153.8127 156.9319 162.0078 167.4641 172.7455 177.3622 180.0676 181.8027
1   175.5     2.06011 167.9571  0.04724 152.2575 154.3200 157.4399 162.5118 167.9571 173.2213 177.8183 180.5102 182.2358
1   176.5     2.09876 168.4313  0.04697 152.7517 154.8147 157.9334 162.9988 168.4313 173.6778 178.2551 180.9338 182.6503
1   177.5     2.13264 168.8867  0.04670 153.2342 155.2961 158.4118 163.4685 168.8867 174.1148 178.6727 181.3385 183.0463
1   178.5     2.16167 169.3231  0.04643 153.7043 155.7638 158.8747 163.9205 169.3231 174.5324 179.0712 181.7247 183.4242
1   179.5     2.18585 169.7405  0.04615 154.1615 156.2174 159.3218 164.3547 169.7405 174.9309 179.4510 182.0927 183.7842
1   180.5     2.20518 170.1393  0.04589 154.6056 156.6566 159.7529 164.7713 170.1393 175.3105 179.8124 182.4429 184.1270
1   181.5     2.21972 170.5195  0.04562 155.0360 157.0811 160.1680 165.1701 170.5195 175.6716 180.1559 182.7757 184.4528
1   182.5     2.22959 170.8815  0.04536 155.4526 157.4907 160.5669 165.5514 170.8815 176.0146 180.4820 183.0918 184.7624
1   183.5     2.23490 171.2257  0.04510 155.8552 157.8853 160.9498 165.9154 171.2257 176.3400 180.7912 183.3916 185.0562
1   184.5     2.23583 171.5525  0.04484 156.2436 158.2650 161.3167 166.2625 171.5525 176.6483 181.0841 183.6757 185.3349
1   185.5     2.23256 171.8626  0.04460 156.6178 158.6298 161.6679 166.5929 171.8626 176.9402 181.3614 183.9449 185.5990
1   186.5     2.22532 172.1563  0.04436 156.9777 158.9798 162.0035 166.9072 172.1563 177.2163 181.6236 184.1997 185.8493
1   187.5     2.21435 172.4343  0.04413 157.3235 159.3150 162.3239 167.2057 172.4343 177.4771 181.8715 184.4408 186.0863
1   188.5     2.19990 172.6972  0.04390 157.6551 159.6359 162.6294 167.4890 172.6972 177.7234 182.1056 184.6687 186.3107
1   189.5     2.18226 172.9456  0.04368 157.9729 159.9425 162.9204 167.7576 172.9456 177.9558 182.3267 184.8843 186.5231
1   190.5     2.16170 173.1801  0.04347 158.2770 160.2352 163.1973 168.0120 173.1801 178.1750 182.5353 185.0879 186.7240
1   191.5     2.13852 173.4014  0.04327 158.5676 160.5143 163.4605 168.2528 173.4014 178.3815 182.7322 185.2804 186.9142
1   192.5     2.11302 173.6101  0.04308 158.8450 160.7802 163.7104 168.4805 173.6101 178.5762 182.9179 185.4623 187.0941
1   193.5     2.08549 173.8067  0.04290 159.1095 161.0332 163.9476 168.6958 173.8067 178.7595 183.0931 185.6341 187.2643
1   194.5     2.05622 173.9920  0.04272 159.3614 161.2738 164.1725 168.8991 173.9920 178.9321 183.2583 185.7965 187.4254
1   195.5     2.02549 174.1665  0.04255 159.6011 161.5023 164.3856 169.0911 174.1665 179.0946 183.4140 185.9498 187.5779
1   196.5     1.99359 174.3308  0.04240 159.8290 161.7191 164.5873 169.2722 174.3308 179.2476 183.5609 186.0948 187.7222
1   197.5     1.96078 174.4854  0.04225 160.0455 161.9247 164.7782 169.4431 174.4854 179.3915 183.6995 186.2318 187.8588
1   198.5     1.92732 174.6310  0.04210 160.2508 162.1196 164.9587 169.6041 174.6310 179.5271 183.8302 186.3613 187.9881
1   199.5     1.89343 174.7680  0.04197 160.4456 162.3041 165.1292 169.7560 174.7680 179.6547 183.9535 186.4837 188.1106
1   200.5     1.85933 174.8969  0.04184 160.6300 162.4786 165.2903 169.8991 174.8969 179.7748 184.0699 186.5995 188.2267
1   201.5     1.82524 175.0182  0.04172 160.8046 162.6437 165.4424 170.0339 175.0182 179.8880 184.1797 186.7091 188.3368
1   202.5     1.79133 175.1323  0.04161 160.9697 162.7997 165.5860 170.1608 175.1323 179.9946 184.2835 186.8128 188.4411
1   203.5     1.75778 175.2398  0.04150 161.1258 162.9470 165.7214 170.2804 175.2398 180.0950 184.3815 186.9110 188.5400
1   204.5     1.72473 175.3410  0.04140 161.2733 163.0860 165.8491 170.3931 175.3410 180.1896 184.4741 187.0040 188.6338
1   205.5     1.69232 175.4362  0.04131 161.4125 163.2172 165.9694 170.4991 175.4362 180.2789 184.5617 187.0922 188.7229
1   206.5     1.66066 175.5259  0.04122 161.5438 163.3409 166.0828 170.5990 175.5259 180.3631 184.6446 187.1757 188.8075
1   207.5     1.62984 175.6104  0.04114 161.6676 163.4575 166.1897 170.6930 175.6104 180.4426 184.7230 187.2550 188.8878
1   208.5     1.59996 175.6901  0.04107 161.7843 163.5673 166.2903 170.7816 175.6901 180.5176 184.7972 187.3302 188.9642
1   209.5     1.57108 175.7652  0.04100 161.8942 163.6708 166.3851 170.8650 175.7652 180.5885 184.8676 187.4016 189.0368
1   210.5     1.54325 175.8360  0.04093 161.9977 163.7682 166.4743 170.9436 175.8360 180.6555 184.9343 187.4694 189.1058
1   211.5     1.51652 175.9028  0.04087 162.0951 163.8598 166.5583 171.0176 175.9028 180.7189 184.9975 187.5338 189.1715
1   212.5     1.49091 175.9658  0.04082 162.1866 163.9461 166.6373 171.0873 175.9658 180.7789 185.0576 187.5951 189.2340
