Sex Age      L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1     0.0     1       34.4618   0.03686  32.1     32.4     33.1     33.6     34.5     35.3     35.8     36.6     36.9
1     1.0     1       37.2759   0.03133  35.1     35.4     36.1     36.5     37.3     38.1     38.5     39.2     39.5
1     2.0     1       39.1285   0.02997  36.9     37.2     37.9     38.3     39.1     39.9     40.3     41.1     41.3
1     3.0     1       40.5135   0.02918  38.3     38.6     39.3     39.7     40.5     41.3     41.7     42.5     42.7
1     4.0     1       41.6317   0.02868  39.4     39.7     40.4     40.8     41.6     42.4     42.9     43.6     43.9
1     5.0     1       42.5576   0.02837  40.3     40.6     41.3     41.7     42.6     43.4     43.8     44.5     44.8
1     6.0     1       43.3306   0.02817  41.0     41.3     42.1     42.5     43.3     44.2     44.6     45.3     45.6
1     7.0     1       43.9803   0.02804  41.7     42.0     42.7     43.1     44.0     44.8     45.3     46.0     46.3
1     8.0     1       44.5300   0.02796  42.2     42.5     43.2     43.7     44.5     45.4     45.8     46.6     46.9
1     9.0     1       44.9998   0.02792  42.6     42.9     43.7     44.2     45.0     45.8     46.3     47.1     47.4
1    10.0     1       45.4051   0.02790  43.0     43.3     44.1     44.6     45.4     46.3     46.7     47.5     47.8
1    11.0     1       45.7573   0.02789  43.4     43.7     44.4     44.9     45.8     46.6     47.1     47.9     48.2
1    12.0     1       46.0661   0.02789  43.6     44.0     44.7     45.2     46.1     46.9     47.4     48.2     48.5
2     0.0     1       33.8787   0.03496  31.7     31.9     32.7     33.1     33.9     34.7     35.1     35.8     36.1
2     1.0     1       36.5463   0.03210  34.3     34.6     35.3     35.8     36.5     37.3     37.8     38.5     38.8
2     2.0     1       38.2521   0.03168  36.0     36.3     37.0     37.4     38.3     39.1     39.5     40.2     40.5
2     3.0     1       39.5328   0.03140  37.2     37.5     38.2     38.7     39.5     40.4     40.8     41.6     41.9
2     4.0     1       40.5817   0.03119  38.2     38.5     39.3     39.7     40.6     41.4     41.9     42.7     43.0
2     5.0     1       41.4590   0.03102  39.0     39.3     40.1     40.6     41.5     42.3     42.8     43.6     43.9
2     6.0     1       42.1995   0.03087  39.7     40.1     40.8     41.3     42.2     43.1     43.5     44.3     44.6
2     7.0     1       42.8290   0.03075  40.4     40.7     41.5     41.9     42.8     43.7     44.2     45.0     45.3
2     8.0     1       43.3671   0.03063  40.9     41.2     42.0     42.5     43.4     44.3     44.7     45.6     45.9
2     9.0     1       43.8300   0.03053  41.3     41.6     42.4     42.9     43.8     44.7     45.2     46.0     46.3
2    10.0     1       44.2319   0.03044  41.7     42.0     42.8     43.3     44.2     45.1     45.6     46.4     46.8
2    11.0     1       44.5844   0.03035  42.0     42.4     43.2     43.7     44.6     45.5     46.0     46.8     47.1
2    12.0     1       44.8965   0.03027  42.3     42.7     43.5     44.0     44.9     45.8     46.3     47.1     47.5
