Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1    12.0     0.0644   9.6479   0.10925   7.8      8.1      8.6      9.0      9.6     10.4     10.8     11.5     11.8
1    13.0     0.0563   9.8749   0.10949   8.0      8.2      8.8      9.2      9.9     10.6     11.1     11.8     12.1
1    14.0     0.0487  10.0953   0.10976   8.2      8.4      9.0      9.4     10.1     10.9     11.3     12.1     12.4
1    15.0     0.0413  10.3108   0.11007   8.4      8.6      9.2      9.6     10.3     11.1     11.6     12.3     12.7
1    16.0     0.0343  10.5228   0.11041   8.5      8.8      9.4      9.8     10.5     11.3     11.8     12.6     12.9
1    17.0     0.0275  10.7319   0.11079   8.7      8.9      9.6     10.0     10.7     11.6     12.0     12.9     13.2
1    18.0     0.0211  10.9385   0.11119   8.9      9.1      9.7     10.1     10.9     11.8     12.3     13.1     13.5
1    19.0     0.0148  11.1430   0.11164   9.0      9.3      9.9     10.3     11.1     12.0     12.5     13.4     13.7
1    20.0     0.0087  11.3462   0.11211   9.2      9.4     10.1     10.5     11.3     12.2     12.7     13.6     14.0
1    21.0     0.0029  11.5486   0.11261   9.3      9.6     10.3     10.7     11.5     12.5     13.0     13.9     14.3
1    22.0    -0.0028  11.7504   0.11314   9.5      9.8     10.5     10.9     11.8     12.7     13.2     14.2     14.5
1    23.0    -0.0083  11.9514   0.11369   9.7      9.9     10.6     11.1     12.0     12.9     13.4     14.4     14.8
1    24.0    -0.0137  12.1515   0.11426   9.8     10.1     10.8     11.3     12.2     13.1     13.7     14.7     15.1
1    25.0    -0.0189  12.3502   0.11485  10.0     10.2     11.0     11.4     12.4     13.3     13.9     14.9     15.3
1    26.0    -0.0240  12.5466   0.11544  10.1     10.4     11.1     11.6     12.5     13.6     14.1     15.2     15.6
1    27.0    -0.0289  12.7401   0.11604  10.2     10.5     11.3     11.8     12.7     13.8     14.4     15.4     15.9
1    28.0    -0.0337  12.9303   0.11664  10.4     10.7     11.5     12.0     12.9     14.0     14.6     15.7     16.1
1    29.0    -0.0385  13.1169   0.11723  10.5     10.8     11.6     12.1     13.1     14.2     14.8     15.9     16.4
1    30.0    -0.0431  13.3000   0.11781  10.7     11.0     11.8     12.3     13.3     14.4     15.0     16.2     16.6
1    31.0    -0.0476  13.4798   0.11839  10.8     11.1     11.9     12.4     13.5     14.6     15.2     16.4     16.9
1    32.0    -0.0520  13.6567   0.11896  10.9     11.2     12.1     12.6     13.7     14.8     15.5     16.6     17.1
