Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1     0.0    1        49.8842   0.03795  46.3     46.8     47.9     48.6     49.9     51.2     51.8     53.0     53.4
1     1.0    1        54.7244   0.03557  51.1     51.5     52.7     53.4     54.7     56.0     56.7     57.9     58.4
1     2.0    1        58.4249   0.03424  54.7     55.1     56.4     57.1     58.4     59.8     60.5     61.7     62.2
1     3.0    1        61.4292   0.03328  57.6     58.1     59.3     60.1     61.4     62.8     63.5     64.8     65.3
1     4.0    1        63.8860   0.03257  60.0     60.5     61.7     62.5     63.9     65.3     66.0     67.3     67.8
1     5.0    1        65.9026   0.03204  61.9     62.4     63.7     64.5     65.9     67.3     68.1     69.4     69.9
1     6.0    1        67.6236   0.03165  63.6     64.1     65.4     66.2     67.6     69.1     69.8     71.1     71.6
1     7.0    1        69.1645   0.03139  65.1     65.6     66.9     67.7     69.2     70.6     71.4     72.7     73.2
1     8.0    1        70.5994   0.03124  66.5     67.0     68.3     69.1     70.6     72.1     72.9     74.2     74.7
1     9.0    1        71.9687   0.03117  67.7     68.3     69.6     70.5     72.0     73.5     74.3     75.7     76.2
1    10.0    1        73.2812   0.03118  69.0     69.5     70.9     71.7     73.3     74.8     75.6     77.0     77.6
1    11.0    1        74.5388   0.03125  70.2     70.7     72.1     73.0     74.5     76.1     77.0     78.4     78.9
1    12.0    1        75.7488   0.03137  71.3     71.8     73.3     74.1     75.7     77.4     78.2     79.7     80.2
2     0.0    1        49.1477   0.03790  45.6     46.1     47.2     47.9     49.1     50.4     51.1     52.2     52.7
2     1.0    1        53.6872   0.03640  50.0     50.5     51.7     52.4     53.7     55.0     55.7     56.9     57.4
2     2.0    1        57.0673   0.03568  53.2     53.7     55.0     55.7     57.1     58.4     59.2     60.4     60.9
2     3.0    1        59.8029   0.03520  55.8     56.3     57.6     58.4     59.8     61.2     62.0     63.3     63.8
2     4.0    1        62.0899   0.03486  58.0     58.5     59.8     60.6     62.1     63.5     64.3     65.7     66.2
2     5.0    1        64.0301   0.03463  59.9     60.4     61.7     62.5     64.0     65.5     66.3     67.7     68.2
2     6.0    1        65.7311   0.03448  61.5     62.0     63.4     64.2     65.7     67.3     68.1     69.5     70.0
2     7.0    1        67.2873   0.03441  62.9     63.5     64.9     65.7     67.3     68.8     69.7     71.1     71.6
2     8.0    1        68.7498   0.03440  64.3     64.9     66.3     67.2     68.7     70.3     71.2     72.6     73.2
2     9.0    1        70.1435   0.03444  65.6     66.2     67.6     68.5     70.1     71.8     72.6     74.1     74.7
2    10.0    1        71.4818   0.03452  66.8     67.4     68.9     69.8     71.5     73.1     74.0     75.5     76.1
2    11.0    1        72.7710   0.03464  68.0     68.6     70.2     71.1     72.8     74.5     75.4     76.9     77.5
2    12.0    1        74.0150   0.03479  69.2     69.8     71.3     72.3     74.0     75.8     76.7     78.3     78.9
